fold_id,model_name,set,accuracy,precision,recall,f1
64,GaussianNB,train,0.923694779116466,0.9019607843137256,0.9108910891089108,0.9064039408866996
64,GaussianNB,test,0.912,0.864406779661017,0.9444444444444444,0.9026548672566372
65,GaussianNB,train,0.924,0.896551724137931,0.9369369369369368,0.9162995594713657
65,GaussianNB,test,0.9112903225806452,0.8666666666666667,0.8863636363636364,0.8764044943820225
66,GaussianNB,train,0.927710843373494,0.8928571428571429,0.9433962264150944,0.9174311926605504
66,GaussianNB,test,0.904,0.8775510204081632,0.8775510204081632,0.8775510204081631
67,GaussianNB,train,0.9156626506024096,0.8969072164948454,0.8877551020408163,0.8923076923076922
67,GaussianNB,test,0.928,0.875,0.9824561403508772,0.9256198347107438
68,GaussianNB,train,0.916,0.8761061946902655,0.9339622641509434,0.904109589041096
68,GaussianNB,test,0.9112903225806452,0.9130434782608696,0.8571428571428571,0.8842105263157894
69,GaussianNB,train,0.9357429718875502,0.9230769230769232,0.9230769230769232,0.9230769230769232
69,GaussianNB,test,0.888,0.8245614035087719,0.9215686274509804,0.8703703703703703
70,GaussianNB,train,0.9196787148594378,0.8867924528301887,0.9215686274509804,0.903846153846154
70,GaussianNB,test,0.92,0.8909090909090909,0.9245283018867924,0.9074074074074072
71,GaussianNB,train,0.896,0.8545454545454545,0.903846153846154,0.8785046728971962
71,GaussianNB,test,0.9516129032258064,0.9591836734693876,0.9215686274509804,0.94
72,GaussianNB,train,0.9116465863453816,0.8839285714285714,0.9166666666666666,0.8999999999999999
72,GaussianNB,test,0.944,0.9166666666666666,0.9361702127659576,0.9263157894736844
73,GaussianNB,train,0.9357429718875502,0.9029126213592232,0.9393939393939394,0.9207920792079208
73,GaussianNB,test,0.888,0.8620689655172413,0.8928571428571429,0.8771929824561403
74,GaussianNB,train,0.916,0.8867924528301887,0.912621359223301,0.8995215311004785
74,GaussianNB,test,0.9274193548387096,0.8909090909090909,0.9423076923076924,0.9158878504672896
75,GaussianNB,train,0.927710843373494,0.9,0.9183673469387756,0.9090909090909092
75,GaussianNB,test,0.904,0.8688524590163934,0.9298245614035088,0.8983050847457625
76,GaussianNB,train,0.9156626506024096,0.8807339449541285,0.9230769230769232,0.9014084507042254
76,GaussianNB,test,0.928,0.903846153846154,0.9215686274509804,0.9126213592233008
77,GaussianNB,train,0.912,0.8839285714285714,0.9166666666666666,0.8999999999999999
77,GaussianNB,test,0.9193548387096774,0.8936170212765957,0.8936170212765957,0.8936170212765957
78,GaussianNB,train,0.927710843373494,0.8938053097345132,0.9439252336448598,0.918181818181818
78,GaussianNB,test,0.904,0.875,0.875,0.875
79,GaussianNB,train,0.931726907630522,0.9207920792079208,0.9117647058823528,0.916256157635468
79,GaussianNB,test,0.896,0.8333333333333334,0.9433962264150944,0.8849557522123894
80,GaussianNB,train,0.908,0.8679245283018868,0.9108910891089108,0.8888888888888888
80,GaussianNB,test,0.967741935483871,0.9807692307692308,0.9444444444444444,0.9622641509433962
81,GaussianNB,train,0.9036144578313252,0.8666666666666667,0.900990099009901,0.8834951456310681
81,GaussianNB,test,0.952,0.9285714285714286,0.9629629629629628,0.9454545454545454
82,GaussianNB,train,0.931726907630522,0.9090909090909092,0.9345794392523364,0.9216589861751152
82,GaussianNB,test,0.896,0.8431372549019608,0.8958333333333334,0.8686868686868686
83,GaussianNB,train,0.924,0.8878504672897196,0.931372549019608,0.9090909090909092
83,GaussianNB,test,0.9112903225806452,0.8888888888888888,0.9056603773584906,0.897196261682243
84,GaussianNB,train,0.923694779116466,0.897196261682243,0.9230769230769232,0.9099526066350712
84,GaussianNB,test,0.896,0.8653846153846154,0.8823529411764706,0.8737864077669903
85,GaussianNB,train,0.9076305220883534,0.8909090909090909,0.8990825688073395,0.8949771689497716
85,GaussianNB,test,0.944,0.8823529411764706,0.9782608695652174,0.927835051546392
86,GaussianNB,train,0.92,0.8737864077669902,0.9278350515463918,0.9
86,GaussianNB,test,0.9032258064516128,0.9107142857142856,0.8793103448275862,0.8947368421052632
87,GaussianNB,train,0.8955823293172691,0.8611111111111112,0.8942307692307693,0.8773584905660378
87,GaussianNB,test,0.968,0.9433962264150944,0.9803921568627452,0.9615384615384616
88,GaussianNB,train,0.927710843373494,0.9065420560747663,0.923809523809524,0.9150943396226416
88,GaussianNB,test,0.904,0.8518518518518519,0.92,0.8846153846153846
89,GaussianNB,train,0.932,0.8962264150943396,0.9405940594059404,0.9178743961352656
89,GaussianNB,test,0.8790322580645161,0.8679245283018868,0.8518518518518519,0.8598130841121496
90,GaussianNB,train,0.931726907630522,0.8909090909090909,0.9514563106796116,0.92018779342723
90,GaussianNB,test,0.896,0.8823529411764706,0.8653846153846154,0.8737864077669903
91,GaussianNB,train,0.9076305220883534,0.875,0.900990099009901,0.8878048780487806
91,GaussianNB,test,0.944,0.912280701754386,0.9629629629629628,0.9369369369369368
92,GaussianNB,train,0.92,0.8981481481481481,0.9150943396226416,0.9065420560747663
92,GaussianNB,test,0.9193548387096774,0.8679245283018868,0.9387755102040816,0.9019607843137256
93,GaussianNB,train,0.9116465863453816,0.8691588785046729,0.9207920792079208,0.8942307692307692
93,GaussianNB,test,0.936,0.925925925925926,0.925925925925926,0.925925925925926
94,GaussianNB,train,0.923694779116466,0.8910891089108911,0.9183673469387756,0.9045226130653268
94,GaussianNB,test,0.912,0.8833333333333333,0.9298245614035088,0.905982905982906
95,GaussianNB,train,0.924,0.9035087719298246,0.927927927927928,0.9155555555555556
95,GaussianNB,test,0.9112903225806452,0.851063829787234,0.9090909090909092,0.8791208791208791
96,GaussianNB,train,0.923694779116466,0.9174311926605504,0.9090909090909092,0.9132420091324202
96,GaussianNB,test,0.912,0.8269230769230769,0.9555555555555556,0.88659793814433
97,GaussianNB,train,0.9076305220883534,0.8514851485148515,0.9148936170212766,0.8820512820512821
97,GaussianNB,test,0.928,0.9482758620689656,0.9016393442622952,0.9243697478991596
98,GaussianNB,train,0.928,0.8928571428571429,0.9433962264150944,0.9174311926605504
98,GaussianNB,test,0.9032258064516128,0.8775510204081632,0.8775510204081632,0.8775510204081631
99,GaussianNB,train,0.8995983935742972,0.8518518518518519,0.9108910891089108,0.8803827751196173
99,GaussianNB,test,0.96,0.9622641509433962,0.9444444444444444,0.9532710280373832
100,GaussianNB,train,0.931726907630522,0.897196261682243,0.9411764705882352,0.9186602870813396
100,GaussianNB,test,0.896,0.8703703703703703,0.8867924528301887,0.8785046728971964
101,GaussianNB,train,0.924,0.9150943396226416,0.9065420560747663,0.9107981220657276
101,GaussianNB,test,0.8951612903225806,0.8301886792452831,0.9166666666666666,0.8712871287128713
102,GaussianNB,train,0.9156626506024096,0.8796296296296297,0.9223300970873788,0.9004739336492891
102,GaussianNB,test,0.928,0.9056603773584906,0.9230769230769232,0.9142857142857144
103,GaussianNB,train,0.9116465863453816,0.8725490196078431,0.9081632653061223,0.89
103,GaussianNB,test,0.936,0.9152542372881356,0.9473684210526316,0.9310344827586206
104,GaussianNB,train,0.932,0.9107142857142856,0.9357798165137616,0.9230769230769232
104,GaussianNB,test,0.8951612903225806,0.8367346938775511,0.8913043478260869,0.8631578947368421
105,GaussianNB,train,0.931726907630522,0.912621359223301,0.9215686274509804,0.9170731707317074
105,GaussianNB,test,0.896,0.8448275862068966,0.9245283018867924,0.8828828828828829
106,GaussianNB,train,0.923694779116466,0.8857142857142857,0.93,0.9073170731707316
106,GaussianNB,test,0.912,0.8928571428571429,0.9090909090909092,0.9009009009009008
107,GaussianNB,train,0.904,0.868421052631579,0.9166666666666666,0.8918918918918918
107,GaussianNB,test,0.9516129032258064,0.9361702127659576,0.9361702127659576,0.9361702127659576
108,GaussianNB,train,0.9196787148594378,0.8773584905660378,0.93,0.9029126213592232
108,GaussianNB,test,0.92,0.9090909090909092,0.9090909090909092,0.9090909090909092
109,GaussianNB,train,0.9156626506024096,0.8818181818181818,0.923809523809524,0.9023255813953488
109,GaussianNB,test,0.912,0.8979591836734694,0.88,0.888888888888889
110,GaussianNB,train,0.924,0.9056603773584906,0.9142857142857144,0.909952606635071
110,GaussianNB,test,0.9112903225806452,0.8545454545454545,0.94,0.8952380952380952
111,GaussianNB,train,0.9116465863453816,0.8679245283018868,0.92,0.8932038834951457
111,GaussianNB,test,0.936,0.9272727272727272,0.9272727272727272,0.9272727272727272
112,GaussianNB,train,0.927710843373494,0.9107142857142856,0.9272727272727272,0.918918918918919
112,GaussianNB,test,0.904,0.8367346938775511,0.9111111111111112,0.8723404255319148
113,GaussianNB,train,0.92,0.8846153846153846,0.92,0.9019607843137256
113,GaussianNB,test,0.9193548387096774,0.8947368421052632,0.9272727272727272,0.9107142857142856
114,GaussianNB,train,0.9156626506024096,0.8715596330275229,0.931372549019608,0.900473933649289
114,GaussianNB,test,0.912,0.92,0.8679245283018868,0.8932038834951457
115,GaussianNB,train,0.9036144578313252,0.8640776699029126,0.898989898989899,0.8811881188118812
115,GaussianNB,test,0.952,0.9310344827586208,0.9642857142857144,0.9473684210526316
116,GaussianNB,train,0.936,0.926605504587156,0.926605504587156,0.926605504587156
116,GaussianNB,test,0.8870967741935484,0.8076923076923077,0.9130434782608696,0.8571428571428572
117,GaussianNB,train,0.9397590361445785,0.9272727272727272,0.9357798165137616,0.9315068493150684
117,GaussianNB,test,0.88,0.803921568627451,0.8913043478260869,0.845360824742268
118,GaussianNB,train,0.923694779116466,0.9047619047619048,0.9134615384615384,0.9090909090909092
118,GaussianNB,test,0.912,0.8571428571428571,0.9411764705882352,0.897196261682243
119,GaussianNB,train,0.896,0.8317757009345794,0.9175257731958762,0.872549019607843
119,GaussianNB,test,0.967741935483871,1.0,0.9310344827586208,0.9642857142857144
120,GaussianNB,train,0.9116465863453816,0.8818181818181818,0.9150943396226416,0.8981481481481483
120,GaussianNB,test,0.92,0.8979591836734694,0.8979591836734694,0.8979591836734694
121,GaussianNB,train,0.8995983935742972,0.8504672897196262,0.91,0.8792270531400966
121,GaussianNB,test,0.944,0.9615384615384616,0.9090909090909092,0.9345794392523366
122,GaussianNB,train,0.94,0.9320388349514565,0.9230769230769232,0.927536231884058
122,GaussianNB,test,0.8790322580645161,0.8103448275862069,0.9215686274509804,0.8623853211009175
123,GaussianNB,train,0.9196787148594378,0.8947368421052632,0.9272727272727272,0.9107142857142856
123,GaussianNB,test,0.92,0.8723404255319149,0.9111111111111112,0.891304347826087
